 Online PassKey,Онлайн PassKey,
"""Customer Provided Item"" cannot be Purchase Item also","&quot;Товар, що надається клієнтом&quot;, також не може бути предметом придбання",
"""Customer Provided Item"" cannot have Valuation Rate","&quot;Елемент, що надається клієнтом&quot; не може мати показник оцінки",
"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item","""Є основним засобом"" не може бути знято, оскільки існує запис засобу відносно об’єкту",
%  Delivered,Доставлено%,
% Amount Billed,Виставлено рахунків на %,
% Billed,% Оплачено,
% Complete Method,% Виконаного методу,
% Completed,% Виконано,
% Installed,% Встановлено,
% Of Grand Total,% Від загальної суми,
% Ordered,% Замовлено,
% Progress,% Прогрес,
% Received,% Отримано,
% of materials billed against this Sales Order,% матеріалів у виставлених рахунках згідно Замовлення клієнта,
% of materials delivered against this Sales Order,% Матеріалів доставлено по цьому замовленні клієнта,
'Based On' and 'Group By' can not be same,"""Базується на"" і ""Згруповано за"" не можуть бути однаковими",
'Date' is required,&quot;Дата&quot; обов&#39;язкова,
'Days Since Last Order' must be greater than or equal to zero,"""Днів з часу останнього замовлення"" має бути більше або дорівнювати нулю",
'Entries' cannot be empty,&quot;Записи&quot; не може бути порожнім,
'From Date' is required,"""Від дати"" є обов’язковим",
'From Date' must be after 'To Date',"""Від дати"" має бути раніше ""До дати""",
'Has Serial No' can not be 'Yes' for non-stock item,"""Має серійний номер"" не може бути ""Так"" для неінвентарного об’єкту",
'Opening',"""Відкривається""",
'To Case No.' cannot be less than 'From Case No.',"""До Випадку №"" не може бути менше, ніж ""З Випадку № '",
'To Date' is required,"""До Дати"" обов’язково",
'Update Stock' can not be checked because items are not delivered via {0},"""Оновити Інвентар"" не може бути позначено, тому що об’єкти не доставляються через {0}",
'Update Stock' cannot be checked for fixed asset sale,"""Оновити запаси"" не може бути позначено для продажу основних засобів",
(Forecast),(Прогноз),
(Hour Rate / 60) * Actual Operation Time,(Тарифна ставка / 60) * Фактичний Час роботи,
(Serial No: {0}) cannot be consumed as it's reserverd to fullfill Sales Order {1}.,"(Серійний номер: {0}) не можна використовувати, оскільки він резервується для повного заповнення замовлення на продаж {1}.",
(including),(включаючи),
* Will be calculated in the transaction.,* Розраховуватиметься у операції,
